Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_31_858.jpg;0;0;0;0;99.66999;85.58897;0.0002313559;53.17919;2.419672E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_31_908.jpg;0;0;0;0;99.66999;85.58897;0.0002316597;53.17919;3.430871E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_31_957.jpg;0;0;0;0;99.66999;85.58897;0.0002318959;53.17919;3.09235E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_017.jpg;0;0;0;0;99.66999;85.58897;0.0002322503;53.17919;2.584601E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_058.jpg;0;0;0;0;99.66999;85.58897;0.0002324865;53.17919;2.246145E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_108.jpg;0;0;0;0;99.66999;85.58897;0.0002328408;53.17919;1.738331E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_158.jpg;0;0;0;0;99.66999;85.58897;0.0002330771;53.17919;1.399876E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_208.jpg;0;0;0;0;99.66999;85.58897;0.0002334314;53.17919;8.921268E-08
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_258.jpg;0;0;0;0;99.66999;85.58897;0.0002336676;53.17919;5.536058E-08
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_308.jpg;0;0;0;0;99.66999;85.58897;0.000234022;53.17919;4.585698E-09
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_358.jpg;0;0;0;0;99.66999;85.58897;0.0002342582;53.17919;-2.925988E-08
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_407.jpg;0;0;0;0;99.66999;85.58897;0.0002346125;53.17919;-8.003477E-08
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_458.jpg;0;0;0;0;99.66999;85.58897;0.0002347475;53.17919;-1.475891E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_507.jpg;0;0;0;0;99.66999;85.58897;0.000234798;53.17919;-2.994774E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_558.jpg;0;0.1011579;0;0;99.67023;85.58929;0.009987935;53.1789;-2.811867E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_608.jpg;0;0;0.2512859;0.04999002;99.67096;85.59028;0.03539195;53.18306;2.611681E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_658.jpg;0;0;0.4018401;0;99.67097;85.59028;0.03320991;53.18307;3.279192E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_707.jpg;0;0;0.5507404;0;99.67098;85.59027;0.0296192;53.18307;4.185742E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_758.jpg;0;0;0.7007651;0;99.67098;85.59027;0.02705097;53.18307;4.738111E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_807.jpg;0;0;0.8508337;0;99.67098;85.59027;0.02300872;53.18307;5.322954E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_857.jpg;0;0;1;0;99.67099;85.59028;0.02022813;53.18307;5.674176E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_907.jpg;0;0;1;0;99.67099;85.59029;0.01599711;53.18307;5.99951E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\imgfolder\IMG\robocam_2017_05_31_18_59_32_958.jpg;0;0;1;0;99.67099;85.59029;0.01317404;53.18306;6.134955E-05
